"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 11:30:59 GMT 2023","Sat Apr 15 11:30:59 GMT 2023","2","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","exitTest","exitTest()",""
"passed","Sat Apr 15 11:29:54 GMT 2023","Sat Apr 15 11:30:26 GMT 2023","32189","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Sat Apr 15 11:29:45 GMT 2023","Sat Apr 15 11:29:52 GMT 2023","7086","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
"passed","Sat Apr 15 11:29:20 GMT 2023","Sat Apr 15 11:29:38 GMT 2023","17410","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"passed","Sat Apr 15 11:29:20 GMT 2023","Sat Apr 15 11:29:20 GMT 2023","241","","tests.DZ_10.JsonEventTest","","tests.DZ_10.JsonEventTest","testJsonParsing","testJsonParsing()",""
"passed","Sat Apr 15 11:31:16 GMT 2023","Sat Apr 15 11:31:25 GMT 2023","8368","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [2] Snippets",""
"skipped","Sat Apr 15 11:31:05 GMT 2023","Sat Apr 15 11:31:05 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Sat Apr 15 11:29:15 GMT 2023","Sat Apr 15 11:29:16 GMT 2023","679","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"passed","Sat Apr 15 11:29:16 GMT 2023","Sat Apr 15 11:29:16 GMT 2023","49","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipAllTest","zipAllTest()",""
"passed","Sat Apr 15 11:30:26 GMT 2023","Sat Apr 15 11:30:58 GMT 2023","32181","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"passed","Sat Apr 15 11:29:38 GMT 2023","Sat Apr 15 11:29:45 GMT 2023","7520","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchLambda","Проверка Issue с помощью Lambda",""
"passed","Sat Apr 15 11:29:16 GMT 2023","Sat Apr 15 11:29:20 GMT 2023","3705","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"passed","Sat Apr 15 11:29:20 GMT 2023","Sat Apr 15 11:29:20 GMT 2023","2","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
"failed","Sat Apr 15 11:30:59 GMT 2023","Sat Apr 15 11:31:05 GMT 2023","6345","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"passed","Sat Apr 15 11:31:06 GMT 2023","Sat Apr 15 11:31:16 GMT 2023","10260","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
